actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI037;respondent;5;4;2;4;4;4;3;5;4;2;4;4;3;5;5;3;4;3;5;5;1;2;4;2;3;3;3;3;2;4;4;4
FI038;respondent;4;4;4;3;4;4;4;4;3;3;3;3;3;3;4;2;3;2;4;4;1;3;4;2;3;3;3;2;4;4;5;5
FI039;respondent;5;5;1;5;1;5;1;4;5;5;3;3;1;2;5;2;4;5;3;4;5;5;2;4;1;4;1;1;5;4;5;3
FI040;respondent;5;5;1;3;2;2;5;4;3;3;4;4;5;4;4;4;4;5;5;5;3;2;4;4;2;5;3;2;5;5;5;5
FI041;respondent;5;5;1;4;4;2;3;3;3;4;5;4;4;4;5;5;1;4;4;5;1;1;4;1;2;4;3;2;4;4;4;5
FI042;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI043;respondent;5;5;2;4;3;4;4;2;2;2;4;4;4;3;5;5;3;3;5;4;1;2;4;2;2;4;3;2;4;4;5;5
FI044;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI045;respondent;5;5;5;3;3;4;3;3;4;3;5;4;4;2;5;5;5;3;5;5;3;3;4;4;2;4;3;2;4;5;4;2
FI046;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI047;respondent;5;5;2;5;2;5;5;3;4;4;5;5;3;4;3;4;3;4;4;5;2;3;4;5;2;4;2;4;4;5;5;4
FI048;respondent;5;5;1;5;2;4;2;4;5;4;5;4;3;5;5;5;3;5;5;5;3;4;5;5;1;5;2;1;3;5;5;4
FI049;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI050;respondent;5;5;2;3;3;3;5;3;3;2;5;3;5;5;4;4;3;3;5;5;3;3;3;2;3;3;3;2;5;5;5;5
FI051;respondent;5;5;1;5;2;3;2;3;4;4;5;5;4;4;4;5;4;4;4;5;4;4;4;4;2;5;1;2;4;4;5;4
FI052;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
