actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI019;respondent;5;1;5;1;4;3;3;NA;NA;NA;3;1;4;1;4;3;1;1;3;4;NA;NA;NA;1;5;1;5;5;3;3;1;1
FI020;respondent;5;5;1;5;1;4;4;NA;NA;NA;5;4;3;5;5;4;4;3;5;5;NA;NA;NA;4;1;4;1;2;5;5;5;5
FI021;respondent;5;5;1;4;2;2;4;NA;NA;NA;2;2;5;4;4;4;5;2;5;5;NA;NA;NA;2;2;4;2;2;2;4;5;4
FI022;respondent;5;5;1;5;3;4;4;NA;NA;NA;5;4;4;4;5;5;5;5;5;5;NA;NA;NA;4;1;5;3;2;3;5;4;4
FI023;respondent;5;5;1;4;2;3;4;NA;NA;NA;4;4;5;4;3;5;3;2;5;5;NA;NA;NA;4;2;4;3;2;4;5;5;4
FI024;respondent;5;4;1;1;5;5;1;NA;NA;NA;4;5;1;5;5;5;5;5;5;5;NA;NA;NA;5;2;2;2;2;5;5;5;5
FI025;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI026;respondent;5;5;1;5;1;4;2;NA;NA;NA;2;2;1;2;4;5;5;5;5;5;NA;NA;NA;5;1;4;2;1;5;5;5;4
FI027;respondent;5;4;2;5;2;4;2;NA;NA;NA;5;2;2;4;5;5;2;4;5;4;NA;NA;NA;4;1;5;2;1;5;5;2;4
FI028;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI029;respondent;5;5;2;4;3;4;4;NA;NA;NA;5;5;4;3;5;5;4;4;5;5;NA;NA;NA;3;2;3;3;4;3;3;5;5
FI030;respondent;5;5;1;4;4;4;2;NA;NA;NA;1;1;3;1;3;3;5;2;4;5;NA;NA;NA;4;1;4;4;2;4;4;5;5
FI031;respondent;4;4;4;2;4;2;4;NA;NA;NA;3;2;3;4;4;2;4;4;3;4;NA;NA;NA;2;4;4;3;2;4;4;4;2
FI032;respondent;4;4;2;4;3;4;4;NA;NA;NA;4;4;4;4;5;5;4;4;5;5;NA;NA;NA;4;1;5;3;2;5;5;5;5
FI033;respondent;5;5;1;4;2;4;4;NA;NA;NA;4;4;3;3;3;5;3;3;5;5;NA;NA;NA;2;1;5;2;2;5;5;5;4
FI034;respondent;5;5;1;4;2;5;4;NA;NA;NA;4;4;3;4;4;5;4;4;5;5;NA;NA;NA;5;2;5;2;2;5;5;4;4
FI035;respondent;5;5;1;5;1;5;3;NA;NA;NA;2;2;2;2;4;4;4;5;4;4;NA;NA;NA;5;1;4;1;1;5;5;5;3
FI036;respondent;5;5;2;4;2;4;4;NA;NA;NA;4;4;4;2;4;4;4;4;4;4;NA;NA;NA;5;2;4;2;2;2;4;4;4
FI037;respondent;5;5;1;3;2;5;3;NA;NA;NA;3;2;3;2;5;4;5;2;4;4;NA;NA;NA;3;2;4;1;2;5;5;5;5
FI038;respondent;4;4;2;4;4;3;5;NA;NA;NA;5;4;3;5;5;5;3;2;5;5;NA;NA;NA;1;5;4;5;1;5;5;4;4
FI039;respondent;5;5;1;5;1;5;2;NA;NA;NA;2;2;1;1;5;3;2;5;4;5;NA;NA;NA;5;1;4;1;1;5;5;4;1
FI040;respondent;4;2;4;4;4;4;4;NA;NA;NA;4;2;NA;5;4;4;4;4;2;3;NA;NA;NA;1;5;4;3;4;4;2;5;4
FI041;respondent;5;5;2;2;4;2;5;NA;NA;NA;4;4;5;4;5;4;2;2;4;4;NA;NA;NA;1;2;3;4;2;4;4;5;4
FI042;respondent;4;4;2;3;4;3;2;NA;NA;NA;3;2;3;4;2;4;5;2;4;4;NA;NA;NA;2;4;4;4;2;5;5;5;4
FI043;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI044;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI045;respondent;4;4;3;4;3;3;4;NA;NA;NA;5;4;3;4;4;5;3;2;5;5;NA;NA;NA;4;2;5;3;3;4;4;3;3
FI046;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI047;respondent;5;5;1;4;3;3;5;NA;NA;NA;3;4;3;5;5;4;5;4;5;5;NA;NA;NA;5;2;4;2;2;5;5;5;4
FI048;respondent;5;5;2;4;3;4;5;NA;NA;NA;5;4;5;2;5;4;4;5;4;5;NA;NA;NA;2;2;4;3;2;4;4;5;5
FI049;respondent;5;4;1;4;4;2;4;NA;NA;NA;4;4;5;3;5;4;5;1;4;5;NA;NA;NA;2;2;4;4;2;1;4;5;5
FI050;respondent;5;3;4;1;5;2;4;NA;NA;NA;2;1;4;2;5;4;3;1;3;5;NA;NA;NA;1;4;2;4;3;1;3;5;5
FI051;respondent;5;4;1;5;2;4;5;NA;NA;NA;5;4;4;4;4;4;4;4;5;5;NA;NA;NA;4;2;4;3;2;4;5;5;4
FI052;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI053;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI054;respondent;5;5;2;5;3;3;4;NA;NA;NA;5;4;3;4;5;5;4;4;5;5;NA;NA;NA;1;1;4;3;1;5;4;5;2
FI055;respondent;5;5;1;5;1;5;5;NA;NA;NA;5;4;3;2;5;5;4;5;4;5;NA;NA;NA;5;1;5;2;2;5;5;5;5
FI056;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI057;respondent;5;4;1;4;4;2;2;NA;NA;NA;4;4;5;2;4;4;1;1;4;5;NA;NA;NA;1;4;4;3;4;1;2;4;5
FI058;respondent;5;5;1;5;2;5;4;NA;NA;NA;5;4;2;4;5;5;4;4;5;5;NA;NA;NA;4;1;4;2;2;5;5;5;5
FI059;respondent;5;5;1;5;1;5;2;NA;NA;NA;4;4;1;4;5;5;4;5;5;5;NA;NA;NA;5;1;5;2;1;5;5;5;1
FI060;respondent;5;5;1;NA;NA;NA;3;NA;NA;NA;4;NA;NA;NA;NA;4;NA;NA;5;5;NA;NA;NA;NA;NA;5;NA;2;NA;4;4;4
FI061;respondent;5;5;2;4;NA;4;2;NA;NA;NA;4;4;4;4;4;4;3;4;4;4;NA;NA;NA;4;2;4;2;2;4;4;4;4
FI062;respondent;5;5;1;5;2;5;1;NA;NA;NA;4;5;4;2;4;5;5;5;5;5;NA;NA;NA;4;1;5;2;1;5;5;5;2
FI063;respondent;4;5;2;5;2;4;3;NA;NA;NA;4;4;3;3;5;2;2;2;NA;5;NA;NA;NA;4;2;4;2;2;3;4;4;4
FI064;respondent;5;5;1;4;4;2;4;NA;NA;NA;1;1;5;4;5;4;3;4;5;5;NA;NA;NA;3;3;5;4;3;4;4;5;5
FI065;respondent;5;5;1;5;1;4;4;NA;NA;NA;2;4;3;4;5;4;4;5;5;5;NA;NA;NA;5;1;4;1;2;4;5;5;4
FI066;respondent;5;5;1;4;1;4;4;NA;NA;NA;2;4;1;2;4;4;5;4;3;5;NA;NA;NA;5;1;4;2;1;5;5;5;4
FI067;respondent;5;5;1;5;1;4;2;NA;NA;NA;3;4;2;2;3;3;5;4;3;5;NA;NA;NA;5;1;5;2;2;4;3;5;3
FI068;respondent;5;5;1;5;2;5;2;NA;NA;NA;4;4;NA;NA;5;4;4;4;5;5;NA;NA;NA;4;1;5;3;1;5;5;5;4
FI069;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI070;respondent;4;4;1;4;1;1;2;NA;NA;NA;5;4;2;3;5;5;4;4;5;5;NA;NA;NA;4;1;3;1;1;5;4;5;5
FI071;respondent;5;5;1;2;2;2;5;NA;NA;NA;4;2;5;4;5;4;2;2;5;5;NA;NA;NA;2;1;4;2;2;2;4;5;5
FI072;respondent;5;5;1;5;1;5;4;NA;NA;NA;5;4;2;4;5;4;5;4;5;5;NA;NA;NA;4;1;4;1;1;5;5;5;4
FI073;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI074;respondent;5;4;2;4;3;3;5;NA;NA;NA;4;1;5;4;5;4;2;1;5;5;NA;NA;NA;1;3;3;4;2;1;3;5;5
FI075;respondent;5;5;1;5;3;4;4;NA;NA;NA;5;5;5;5;5;5;5;4;5;5;NA;NA;NA;5;1;5;3;4;2;2;5;5
FI076;respondent;5;5;5;4;3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;2;4;2;5;4;NA;NA
FI077;respondent;5;5;1;5;2;4;4;NA;NA;NA;4;4;4;5;5;4;5;4;5;5;NA;NA;NA;4;2;4;2;1;4;5;5;4
FI078;respondent;5;5;1;5;1;5;2;NA;NA;NA;2;2;1;2;4;2;4;5;5;5;NA;NA;NA;5;1;4;1;1;4;4;5;2
FI079;respondent;5;5;2;4;4;4;3;NA;NA;NA;4;4;3;4;5;4;4;2;5;5;NA;NA;NA;2;3;5;5;4;2;4;5;5
FI080;respondent;5;5;1;4;2;5;4;NA;NA;NA;3;3;3;4;5;4;4;3;5;5;NA;NA;NA;3;2;5;3;1;4;5;5;5
FI081;respondent;5;5;1;4;2;2;2;NA;NA;NA;4;4;3;3;4;2;2;4;4;4;NA;NA;NA;4;1;4;2;2;2;3;4;4
FI082;respondent;5;5;1;4;4;4;2;NA;NA;NA;4;4;5;3;5;4;2;3;3;5;NA;NA;NA;3;2;4;2;4;4;5;5;4
FI083;respondent;5;5;1;4;3;4;3;NA;NA;NA;5;5;5;4;5;5;3;2;5;5;NA;NA;NA;4;2;3;3;2;2;3;5;5
FI084;respondent;5;5;1;5;1;2;4;NA;NA;NA;2;2;2;3;4;2;5;5;5;5;NA;NA;NA;5;1;5;1;1;5;5;5;4
FI085;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI086;respondent;5;5;1;5;4;3;5;NA;NA;NA;4;4;4;4;4;4;3;5;5;5;NA;NA;NA;3;1;5;3;1;5;5;5;4
FI087;respondent;5;4;2;4;5;2;5;NA;NA;NA;5;5;4;5;5;4;4;2;5;5;NA;NA;NA;1;2;2;4;4;5;4;5;5
FI088;respondent;5;4;1;2;3;2;4;NA;NA;NA;4;2;3;4;5;5;2;4;5;5;NA;NA;NA;1;2;3;4;2;3;4;5;5
FI089;respondent;5;5;1;4;4;5;4;NA;NA;NA;5;5;4;4;5;5;5;5;5;5;NA;NA;NA;3;1;5;3;1;5;5;5;4
FI090;respondent;5;4;1;4;2;5;2;NA;NA;NA;2;4;2;5;4;4;4;4;5;5;NA;NA;NA;4;1;4;1;1;4;5;5;5
FI091;respondent;5;5;1;5;1;4;2;NA;NA;NA;3;4;1;2;5;3;4;5;4;5;NA;NA;NA;5;1;5;1;1;5;5;5;5
FI092;respondent;5;5;1;5;2;4;2;NA;NA;NA;4;4;1;2;4;4;5;4;4;5;NA;NA;NA;4;1;4;1;2;5;5;5;5
FI093;respondent;5;5;2;4;3;4;4;NA;NA;NA;4;4;4;4;4;4;3;3;5;5;NA;NA;NA;3;3;4;3;2;2;4;5;5
FI094;respondent;5;4;1;5;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;2;2;4;4;NA;NA
FI095;respondent;5;5;1;5;1;4;4;NA;NA;NA;4;4;1;3;5;4;5;5;4;5;NA;NA;NA;5;1;5;1;1;5;5;5;5
FI096;respondent;5;5;1;5;1;5;2;NA;NA;NA;4;4;3;4;5;5;2;4;4;5;NA;NA;NA;5;1;4;1;1;5;5;5;5
FI126;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI127;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI128;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI129;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI130;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI131;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI132;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI133;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI134;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI135;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI136;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI137;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI138;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI139;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI140;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI141;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI142;invalid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
