actor;status;A0101;A0102;A0107;A0110;A0111;A0112;A0113;A0121;A0122;A0123;G0101;G0103;G0104;G0107;G0108;G0110;G0113;G0116;G0117;G0119;G0125;G0126;G0127;G0401;G0402;G0404;G0405;G0407;G0408;G0410;H0105;H0107
FI001;respondent;5;5;1;2;3;4;4;NA;NA;NA;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;4;3;4;3;4;4;5;3;3
FI002;respondent;5;5;2;5;3;3;5;NA;NA;NA;NA;4;3;3;NA;NA;NA;NA;5;5;NA;NA;NA;3;2;4;3;1;2;4;NA;5
FI003;respondent;5;5;1;3;3;4;2;NA;NA;NA;3;3;3;3;4;4;3;5;5;5;NA;NA;NA;3;2;5;2;1;4;5;5;4
FI004;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI005;respondent;5;5;1;4;2;2;4;NA;NA;NA;5;5;2;4;4;4;3;4;5;5;NA;NA;NA;4;2;5;2;2;4;5;5;4
FI006;respondent;5;5;1;5;1;3;4;NA;NA;NA;5;5;3;4;5;5;5;5;5;5;NA;NA;NA;4;1;5;1;1;5;3;5;5
FI007;respondent;5;5;1;5;1;5;2;NA;NA;NA;5;5;NA;NA;5;5;5;5;5;5;NA;NA;NA;5;1;5;1;1;5;5;5;5
FI008;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI009;respondent;5;5;1;5;2;4;4;NA;NA;NA;4;2;5;5;4;4;3;4;5;5;NA;NA;NA;2;2;4;2;2;4;5;5;5
FI010;respondent;5;5;1;4;2;4;3;NA;NA;NA;5;5;5;4;4;5;4;3;5;5;NA;NA;NA;3;2;4;2;1;4;4;5;5
FI011;respondent;5;5;2;4;3;3;3;NA;NA;NA;4;4;4;4;4;4;4;3;4;5;NA;NA;NA;3;1;3;3;3;2;3;5;4
FI012;non-respondent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FI013;respondent;5;5;1;4;2;2;2;NA;NA;NA;5;4;3;4;4;5;3;5;5;4;NA;NA;NA;4;2;5;2;2;4;5;5;4
FI014;respondent;5;4;2;5;5;4;4;NA;NA;NA;4;4;4;5;5;5;2;4;5;5;NA;NA;NA;4;2;4;2;2;5;4;5;5
FI015;respondent;5;5;1;4;2;4;5;NA;NA;NA;2;2;5;4;4;4;1;2;5;4;NA;NA;NA;2;3;5;2;2;5;5;5;5
FI016;respondent;5;5;1;5;1;4;3;NA;NA;NA;5;5;1;3;5;5;5;5;5;5;NA;NA;NA;5;1;5;1;1;5;5;5;5
FI017;respondent;5;5;1;3;3;3;4;NA;NA;NA;3;3;5;4;5;4;2;2;5;5;NA;NA;NA;2;2;4;4;2;3;4;5;5
FI018;respondent;5;5;1;5;2;2;4;NA;NA;NA;3;2;5;4;4;1;4;2;5;2;NA;NA;NA;2;2;3;2;5;5;4;4;2
