from;to
FI013;FI116
FI013;FI117
FI013;FI121
FI014;FI001
FI014;FI003
FI014;FI005
FI014;FI006
FI014;FI008
FI014;FI009
FI014;FI010
FI014;FI011
FI014;FI014
FI014;FI015
FI014;FI016
FI014;FI018
FI014;FI021
FI014;FI023
FI014;FI027
FI014;FI032
FI014;FI033
FI014;FI037
FI014;FI038
FI014;FI040
FI014;FI042
FI014;FI043
FI014;FI044
FI014;FI048
FI014;FI049
FI014;FI051
FI014;FI054
FI014;FI061
FI014;FI062
FI014;FI063
FI014;FI064
FI014;FI065
FI014;FI067
FI014;FI070
FI014;FI073
FI014;FI075
FI014;FI077
FI014;FI078
FI014;FI079
FI014;FI080
FI014;FI082
FI014;FI083
FI014;FI085
FI014;FI086
FI014;FI087
FI014;FI088
FI014;FI089
FI014;FI091
FI014;FI092
FI014;FI093
FI014;FI094
FI014;FI095
FI014;FI096
FI014;FI097
FI014;FI099
FI014;FI100
FI014;FI101
FI014;FI102
FI014;FI103
FI014;FI104
FI014;FI105
FI014;FI106
FI014;FI107
FI014;FI108
FI014;FI112
FI014;FI114
FI014;FI115
FI014;FI116
FI014;FI117
FI014;FI120
FI014;FI121
FI015;FI001
FI015;FI008
FI015;FI010
FI015;FI015
FI015;FI016
FI015;FI020
FI015;FI021
FI015;FI023
FI015;FI027
FI015;FI032
FI015;FI038
FI015;FI041
FI015;FI043
FI015;FI048
FI015;FI049
FI015;FI050
FI015;FI055
FI015;FI057
FI015;FI061
FI015;FI062
FI015;FI063
FI015;FI065
FI015;FI068
FI015;FI074
FI015;FI075
FI015;FI079
FI015;FI081
FI015;FI082
FI015;FI085
FI015;FI086
FI015;FI091
FI015;FI093
FI015;FI094
FI015;FI095
FI015;FI096
FI015;FI097
FI015;FI099
FI015;FI100
FI015;FI102
FI015;FI103
FI015;FI105
FI015;FI106
FI016;FI001
FI016;FI003
FI016;FI008
FI016;FI009
FI016;FI010
FI016;FI015
FI016;FI016
FI016;FI021
FI016;FI023
FI016;FI026
FI016;FI027
FI016;FI032
FI016;FI033
FI016;FI035
FI016;FI036
FI016;FI039
FI016;FI040
FI016;FI041
FI016;FI043
FI016;FI044
FI016;FI048
FI016;FI050
FI016;FI052
FI016;FI053
FI016;FI061
FI016;FI063
FI016;FI064
FI016;FI065
FI016;FI067
FI016;FI070
FI016;FI074
FI016;FI077
FI016;FI079
FI016;FI080
FI016;FI081
FI016;FI082
FI016;FI085
FI016;FI086
FI016;FI087
FI016;FI088
FI016;FI090
FI016;FI091
FI016;FI093
FI016;FI095
FI016;FI096
FI016;FI097
FI016;FI099
FI016;FI100
FI016;FI101
FI016;FI102
FI016;FI103
FI016;FI104
FI016;FI106
FI016;FI114
