from;to
FI027;FI065
FI027;FI067
FI027;FI069
FI027;FI071
FI027;FI074
FI027;FI100
FI029;FI001
FI029;FI003
FI029;FI008
FI029;FI009
FI029;FI010
FI029;FI011
FI029;FI012
FI029;FI015
FI029;FI018
FI029;FI021
FI029;FI023
FI029;FI024
FI029;FI026
FI029;FI027
FI029;FI028
FI029;FI030
FI029;FI035
FI029;FI036
FI029;FI037
FI029;FI038
FI029;FI040
FI029;FI041
FI029;FI043
FI029;FI048
FI029;FI050
FI029;FI052
FI029;FI053
FI029;FI057
FI029;FI058
FI029;FI061
FI029;FI062
FI029;FI063
FI029;FI064
FI029;FI065
FI029;FI067
FI029;FI070
FI029;FI071
FI029;FI073
FI029;FI074
FI029;FI075
FI029;FI077
FI029;FI079
FI029;FI080
FI029;FI082
FI029;FI086
FI029;FI087
FI029;FI090
FI029;FI091
FI029;FI094
FI029;FI095
FI029;FI096
FI029;FI097
FI029;FI099
FI029;FI100
FI029;FI120
FI029;FI121
FI030;FI021
FI030;FI033
FI030;FI037
FI030;FI045
FI030;FI065
FI030;FI070
FI030;FI073
FI030;FI079
FI030;FI087
FI030;FI093
FI030;FI096
FI030;FI119
FI031;FI013
FI031;FI031
FI031;FI032
FI031;FI045
FI031;FI048
FI031;FI049
FI031;FI062
FI031;FI066
FI031;FI072
FI031;FI074
FI031;FI079
FI031;FI093
FI031;FI096
FI031;FI099
FI032;FI001
FI032;FI002
FI032;FI005
FI032;FI008
FI032;FI009
FI032;FI010
FI032;FI011
FI032;FI012
FI032;FI013
FI032;FI015
FI032;FI016
FI032;FI017
FI032;FI018
FI032;FI020
FI032;FI021
FI032;FI022
FI032;FI025
FI032;FI032
FI032;FI036
FI032;FI041
FI032;FI042
FI032;FI043
FI032;FI044
FI032;FI048
FI032;FI050
FI032;FI051
FI032;FI055
FI032;FI056
FI032;FI057
FI032;FI062
FI032;FI063
FI032;FI065
FI032;FI066
FI032;FI068
FI032;FI070
FI032;FI073
FI032;FI074
FI032;FI075
FI032;FI078
FI032;FI079
FI032;FI082
FI032;FI083
FI032;FI084
FI032;FI088
FI032;FI093
FI032;FI094
FI032;FI095
FI032;FI096
FI032;FI102
FI032;FI103
FI032;FI117
FI033;FI001
FI033;FI003
FI033;FI005
FI033;FI006
FI033;FI008
FI033;FI010
FI033;FI011
FI033;FI013
FI033;FI014
FI033;FI015
FI033;FI017
FI033;FI020
FI033;FI021
FI033;FI030
FI033;FI037
FI033;FI045
FI033;FI048
FI033;FI049
FI033;FI062
FI033;FI064
FI033;FI065
FI033;FI067
FI033;FI070
FI033;FI072
FI033;FI073
FI033;FI074
FI033;FI076
FI033;FI079
FI033;FI082
FI033;FI085
FI033;FI086
FI033;FI087
FI033;FI092
FI033;FI093
FI033;FI095
FI033;FI096
FI033;FI097
FI033;FI099
FI033;FI100
FI034;FI018
FI034;FI023
FI034;FI027
FI034;FI036
FI034;FI037
FI034;FI090
FI034;FI091
FI035;FI007
FI035;FI016
FI035;FI024
FI035;FI026
FI035;FI028
FI035;FI034
FI035;FI035
FI035;FI039
FI035;FI046
FI035;FI059
FI035;FI067
FI035;FI069
FI035;FI095
FI035;FI096
FI035;FI115
FI035;FI116
FI036;FI001
FI036;FI003
FI036;FI005
FI036;FI009
FI036;FI013
FI036;FI015
FI036;FI017
FI036;FI018
FI036;FI020
FI036;FI021
FI036;FI022
FI036;FI030
FI036;FI032
FI036;FI034
FI036;FI036
FI036;FI037
FI036;FI038
FI036;FI041
FI036;FI042
FI036;FI044
FI036;FI045
FI036;FI048
FI036;FI052
FI036;FI054
FI036;FI063
FI036;FI065
FI036;FI070
FI036;FI073
FI036;FI076
FI036;FI078
FI036;FI079
FI036;FI080
FI036;FI082
FI036;FI084
FI036;FI085
FI036;FI088
FI036;FI089
FI036;FI093
FI036;FI096
FI036;FI097
FI036;FI099
FI036;FI100
FI036;FI101
FI036;FI102
FI036;FI103
FI037;FI001
FI037;FI008
FI037;FI010
FI037;FI013
FI037;FI015
FI037;FI018
FI037;FI020
FI037;FI021
FI037;FI022
FI037;FI023
FI037;FI027
FI037;FI029
FI037;FI036
FI037;FI038
FI037;FI041
FI037;FI042
FI037;FI043
FI037;FI044
FI037;FI048
FI037;FI053
FI037;FI058
FI037;FI061
FI037;FI062
FI037;FI063
FI037;FI065
FI037;FI070
FI037;FI071
FI037;FI073
FI037;FI076
FI037;FI082
FI037;FI085
FI037;FI090
FI037;FI091
FI037;FI093
FI037;FI097
FI037;FI098
FI037;FI099
FI037;FI100
FI037;FI101
FI037;FI102
FI037;FI106
FI037;FI107
FI037;FI108
FI038;FI008
FI038;FI010
FI038;FI013
FI038;FI018
FI038;FI020
FI038;FI021
FI038;FI023
FI038;FI027
FI038;FI037
FI038;FI041
FI038;FI042
FI038;FI043
FI038;FI058
FI038;FI062
FI038;FI063
FI038;FI071
FI038;FI079
FI038;FI082
FI038;FI088
FI038;FI099
FI038;FI102
FI039;FI016
FI039;FI024
FI039;FI026
FI039;FI028
FI039;FI035
FI039;FI046
FI039;FI059
FI039;FI066
FI039;FI067
FI039;FI068
FI039;FI069
FI039;FI095
FI039;FI115
FI039;FI116
FI040;FI008
FI040;FI010
FI040;FI013
FI040;FI020
FI040;FI023
FI040;FI043
FI040;FI061
FI040;FI064
FI040;FI074
FI040;FI077
FI040;FI079
FI040;FI087
FI041;FI008
FI041;FI037
FI041;FI038
FI041;FI042
FI041;FI043
FI041;FI056
FI041;FI063
FI041;FI070
FI041;FI072
FI041;FI073
FI041;FI075
FI041;FI079
FI041;FI082
FI041;FI088
FI041;FI093
FI041;FI095
FI042;FI001
FI042;FI005
FI042;FI008
FI042;FI009
FI042;FI013
FI042;FI018
FI042;FI021
FI042;FI022
FI042;FI030
FI042;FI032
FI042;FI033
FI042;FI036
FI042;FI037
FI042;FI038
FI042;FI041
FI042;FI042
FI042;FI043
FI042;FI045
FI042;FI052
FI042;FI063
FI042;FI070
FI042;FI072
FI042;FI073
FI042;FI074
FI042;FI076
FI042;FI079
FI042;FI080
FI042;FI082
FI042;FI085
FI042;FI093
FI042;FI096
FI042;FI098
FI042;FI102
FI042;FI108
FI045;FI001
FI045;FI002
FI045;FI005
FI045;FI006
FI045;FI008
FI045;FI010
FI045;FI011
FI045;FI013
FI045;FI015
FI045;FI017
FI045;FI020
FI045;FI021
FI045;FI025
FI045;FI030
FI045;FI031
FI045;FI033
FI045;FI036
FI045;FI037
FI045;FI038
FI045;FI041
FI045;FI043
FI045;FI048
FI045;FI049
FI045;FI050
FI045;FI051
FI045;FI056
FI045;FI057
FI045;FI062
FI045;FI063
FI045;FI065
FI045;FI066
FI045;FI068
FI045;FI070
FI045;FI072
FI045;FI073
FI045;FI074
FI045;FI075
FI045;FI076
FI045;FI079
FI045;FI080
FI045;FI082
FI045;FI083
FI045;FI084
FI045;FI085
FI045;FI086
FI045;FI087
FI045;FI093
FI045;FI096
FI047;FI056
FI048;FI005
FI048;FI008
FI048;FI014
FI048;FI015
FI048;FI016
FI048;FI025
FI048;FI045
FI048;FI049
FI048;FI055
FI048;FI062
FI048;FI063
FI048;FI064
FI048;FI065
FI048;FI073
FI048;FI077
FI048;FI080
FI048;FI083
FI048;FI086
FI048;FI087
FI048;FI089
FI048;FI092
FI048;FI094
FI048;FI095
FI048;FI099
FI048;FI103
FI048;FI104
FI048;FI117
FI048;FI121
FI049;FI004
FI049;FI005
FI049;FI008
FI049;FI009
FI049;FI010
FI049;FI013
FI049;FI019
FI049;FI021
FI049;FI023
FI049;FI025
FI049;FI027
FI049;FI030
FI049;FI033
FI049;FI041
FI049;FI043
FI049;FI045
FI049;FI048
FI049;FI052
FI049;FI054
FI049;FI062
FI049;FI064
FI049;FI067
FI049;FI070
FI049;FI076
FI049;FI079
FI049;FI080
FI049;FI081
FI049;FI082
FI049;FI083
FI049;FI085
FI049;FI086
FI049;FI087
FI049;FI089
FI049;FI093
FI049;FI095
FI049;FI096
FI049;FI097
FI049;FI099
FI049;FI100
FI049;FI103
FI049;FI112
FI050;FI009
FI050;FI011
FI050;FI040
FI050;FI045
FI050;FI057
FI050;FI064
FI050;FI074
FI050;FI077
FI050;FI096
FI051;FI001
FI051;FI005
FI051;FI008
FI051;FI065
FI051;FI074
FI051;FI095
FI051;FI096
FI051;FI112
FI054;FI008
FI054;FI037
FI054;FI038
FI054;FI067
FI054;FI070
FI054;FI072
FI054;FI073
FI054;FI079
FI054;FI083
FI054;FI089
FI054;FI096
FI055;FI005
FI055;FI010
FI055;FI015
FI055;FI025
FI055;FI043
FI055;FI048
FI055;FI049
FI055;FI065
FI055;FI073
FI055;FI074
FI055;FI079
FI055;FI087
FI055;FI088
FI057;FI005
FI057;FI008
FI057;FI010
FI057;FI011
FI057;FI012
FI057;FI023
FI057;FI027
FI057;FI029
FI057;FI043
FI057;FI044
FI057;FI045
FI057;FI050
FI057;FI051
FI057;FI053
FI057;FI057
FI057;FI058
FI057;FI061
FI057;FI074
FI057;FI079
FI057;FI082
FI057;FI090
FI057;FI091
FI057;FI094
FI057;FI096
FI057;FI097
FI057;FI099
FI057;FI100
FI057;FI115
FI057;FI117
FI058;FI001
FI058;FI018
FI058;FI021
FI058;FI030
FI058;FI036
FI058;FI080
FI058;FI081
FI059;FI007
FI059;FI013
FI059;FI016
FI059;FI024
FI059;FI026
FI059;FI028
FI059;FI034
FI059;FI035
FI059;FI039
FI059;FI046
FI059;FI059
FI059;FI066
FI059;FI067
FI059;FI068
FI059;FI069
FI059;FI095
FI059;FI116
FI060;FI001
FI060;FI006
FI060;FI008
